"ID","leader","meanSim","sdSim","cutoff","nFrameskip","nFrames"
"101","C",0.762568428478377,0.241421506605374,0,1,9041
"101","P",0.81297758332239,0.227073496028651,0,1,9037
"102","C",0.745237806337989,0.238675276646894,0,1,9265
"102","P",0.820316055938691,0.192688108212136,0,1,9157
"103","C",0.822437708234649,0.209923005539663,0,1,9232
"103","P",0.753451406470592,0.236063058092649,0,1,9157
"104","C",0.751738272678625,0.25211642149055,0,1,9183
"104","P",0.794166474437687,0.246659877937446,0,1,9215
"105","C",0.784048111038466,0.230630066685728,0,1,9197
"105","P",0.861642145298353,0.178261819434313,0,1,9241
"106","C",0.787179323305244,0.205751693192612,0,1,9117
"106","P",0.941779379546488,0.0545079231256022,0,1,9125
"107","C",0.753350776656522,0.238511801593152,0,1,9120
"107","P",0.791494390637922,0.204487038612692,0,1,9134
"108","C",0.815435953707684,0.216048122768816,0,1,9131
"108","P",0.752367352014875,0.222969946219319,0,1,9096
"109","C",0.768896665898556,0.247878863067726,0,1,9124
"109","P",0.657331224515047,0.27596775143236,0,1,9136
"110","C",0.734243346998522,0.213038781381196,0,1,9108
"110","P",0.832433170166284,0.142327874304813,0,1,9123
"111","C",0.740975870660421,0.222259024604076,0,1,9052
"111","P",0.756229497904272,0.218055968647504,0,1,9165
"112","C",0.824937724830872,0.159268287054229,0,1,9078
"112","P",0.80578620607207,0.172565282289904,0,1,9147
"113","C",0.757245198578297,0.222098598949525,0,1,9130
"113","P",0.750222976494297,0.21024004501993,0,1,9131
"114","C",0.774741407011423,0.240178345721869,0,1,9214
"114","P",0.843048488681891,0.174720879549675,0,1,9103
"115","C",0.77535044182266,0.237590323581387,0,1,9117
"115","P",0.776063608211709,0.212066452148885,0,1,9115
"116","C",0.690251117447683,0.304187382115645,0,1,9146
"116","P",0.858342267541491,0.205730839670276,0,1,8988
"117","C",0.766153482071384,0.230251968933024,0,1,9123
"117","P",0.845328466581522,0.146486436941917,0,1,9036
"118","C",0.783054161123633,0.210522198849787,0,1,9156
"118","P",0.919662336550195,0.0937850276044375,0,1,9123
"119","C",0.840307590524178,0.167352514319796,0,1,9105
"119","P",0.807870273228523,0.213542482853392,0,1,9121
"120","C",0.838400772352116,0.172043963379516,0,1,9135
"120","P",0.783018267699668,0.198440810045142,0,1,9088
"121","C",0.837923889083871,0.180600134769125,0,1,9298
"121","P",0.798568211996474,0.222532940046802,0,1,9106
"122","C",0.809332931335429,0.195180071480678,0,1,9092
"122","P",0.863328226490092,0.142030447373941,0,1,9153
"123","C",0.768134652068992,0.235853112682024,0,1,9174
"123","P",0.872880038037685,0.166458144401492,0,1,9096
"124","C",0.774316751168656,0.247163793862444,0,1,9069
"124","P",0.787927086726585,0.218053026716474,0,1,9064
"125","C",0.796842456847089,0.215911926900652,0,1,9095
"125","P",0.937326455297049,0.0574317953312438,0,1,9137
"126","C",0.820264981623368,0.186238781357261,0,1,9025
"126","P",0.908486391528644,0.129204394356971,0,1,9478
"127","C",0.877012944596531,0.19162427198962,0,1,9092
"127","P",0.889782760242514,0.107417575988668,0,1,9123
"128","C",0.778968332293204,0.227681354786824,0,1,9081
"128","P",0.865556843236198,0.170919629817956,0,1,9056
"129","C",0.726599729472006,0.230812627512119,0,1,9076
"129","P",0.757851473475692,0.220020065424282,0,1,9080
"130","C",0.831296187486744,0.16872152168091,0,1,9124
"130","P",0.858354290742341,0.136245426079436,0,1,9089
"201","C",0.484253367608188,0.219626233740857,0,1,9221
"201","P",0.624347686081288,0.225280741222434,0,1,9203
"202","C",0.479563300136619,0.181306869852209,0,1,9182
"202","P",0.377594991736408,0.162828892210105,0,1,9183
"203","C",0.525039862788953,0.191958669694502,0,1,9216
"203","P",0.453165229772515,0.211914440844326,0,1,9200
"204","C",0.531374595368584,0.208055120149611,0,1,9238
"204","P",0.60036568484812,0.260532130325216,0,1,9204
"205","C",0.490144872498324,0.213189107404423,0,1,9080
"205","P",0.433689797040959,0.190717115835043,0,1,9080
"206","C",0.620760037363486,0.222835735921758,0,1,9091
"206","P",0.455746155300147,0.205181940882138,0,1,9127
"207","C",0.516401463692309,0.230025789966429,0,1,9056
"207","P",0.531889880096973,0.214970334911416,0,1,9046
"208","C",0.547381032036784,0.330791464885641,0,1,9129
"208","P",0.348299384280917,0.20572351999666,0,1,9071
"209","C",0.384293080014571,0.281167319683093,0,1,9041
"209","P",0.125763127696603,0.238847601305053,0,1,8752
"210","C",0.386771528348456,0.221711608868641,0,1,9089
"210","P",0.35375438991385,0.191442036815441,0,1,9066
"211","C",0.497948033135545,0.218079624540156,0,1,9082
"211","P",0.454444568472687,0.338632520912236,0,1,9134
"212","C",0.540298739260068,0.197187543901425,0,1,9036
"212","P",0.268044623502748,0.224442578615177,0,1,9221
"213","C",0.382455759805047,0.205786789708341,0,1,9129
"213","P",0.575616620051344,0.206362037864257,0,1,9163
"214","C",0.341253762761823,0.210753816733135,0,1,9124
"214","P",0.32672262387842,0.165186886353027,0,1,9120
"215","C",0.476805147640777,0.2140288603715,0,1,9064
"215","P",0.434539553119683,0.216601946799504,0,1,9034
"216","C",0.558153595905883,0.29842957936975,0,1,9030
"216","P",0.652780077526742,0.200523437871453,0,1,9081
"217","C",0.505833470304246,0.202123773041816,0,1,9041
"217","P",0.536354996795685,0.21283897190146,0,1,9077
"218","C",0.569674899829838,0.209148757290011,0,1,9132
"218","P",0.500606965139984,0.207240456609843,0,1,9176
"219","C",0.552022790011913,0.248789374971965,0,1,9114
"219","P",0.370774347677992,0.163505709987538,0,1,9119
